Question,Solution,,,,,,,,
"31: (a) According to the law of atmospheres density of air decreases with an increase in height y as ρ=\(\begin{array}{l}\rho _{0}e^{\frac{-y}{y_{0}}}\end{array} \). Where ρ0 =1.25 kg m^-3 is the density of air at sea level, and y0 is a constant. Derive this equation/law considering that the atmosphere and acceleration due to gravity remain constant.
(b) A zeppelin of volume 1500 m^3 is filled with helium, and it is lifting a mass of 400 kg. Assuming that the radius of the zeppelin remains constant as it ascends. How high will it rise? [ y0 = 8000 m and ρHe =0.18 kg m^-3].","(a). We know that rate of decrease of density ρ of air is directly proportional to the height y.
i.e., \(\begin{array}{l}\frac{ d \rho }{ d y } = \;- \frac{ \rho }{ y_{ 0 }}\end{array} \) . . . . . . . . . . . . . . ( 1 )Where y is the constant of proportionality and the –ve sign indicates the decrease in density with an increase in height.
Integrating equation (1), we get 
\(\begin{array}{l}\int_{\rho _{0}}^{\rho }\frac{d}{\rho } =\; – \int_{0}^{y } \frac{1}{y_{0}}dy\\\end{array} \)
\(\begin{array}{l}[log \rho ]_{\rho _{0}}^{\rho } = -[\frac{y}{y_{0}}]_{0}^{y}\end{array} \)
Where ρ0 = density of air at sea level, i.e., y =0
Or, loge(ρ0 /ρ ) = -y/y0Therefore, \(\begin{array}{l}\rho =\rho _{0}\;e^{\frac{y}{y_{0}}}\end{array} \)

(b).  Given:
Volume of zeppelin  = 1500 m^3  Mass of payload, m = 400 kg
y0 = 8000 m
ρ0 =1.25 kg m^-3
Density of helium, ρ He =0.18 kg m^-3   Density ρ = \(\begin{array}{l}\frac{ Mass }{ Volume }\end{array} \) = \(\begin{array}{l}\frac{ Mass \;of \;payload + Mass \;of \;helium }{ Volume }\end{array} \)

= \(\begin{array}{l}\frac{ 400 + 1500 \times  0.18 }{ 1500 }\end{array} \)  [Mass = volume × density]  =  0.45 kg m^-3   Using equation (1), we will get
\(\begin{array}{l}\rho =\rho _{0}e^{\frac{y}{y_{0}}}\\\end{array} \)
\(\begin{array}{l} \\\Rightarrow log_{e}(\frac{\rho _{0}}{\rho })= \frac{y_{0}}{y}\\\end{array} \)
Or, \(\begin{array}{l}\\y= \frac{y_{0}}{log_{e}(\frac{\rho _{0}}{\rho })}\\\end{array} \)
\(\begin{array}{l} \\\Rightarrow y= \frac{8000}{log_{e}(\frac{1.25}{0.45 })}\end{array} \)
Therefore,  y ≈ 8km",,,,,,,,
"Q.1: The triple points of neon and carbon dioxide are 24.57 K and 216.55 K, respectively. Express these temperatures on the Celsius and Fahrenheit scales.","Given: Kelvin and Celsius scales are related as
TC = TK – 273.15  . . . . . . . . . . . . . . (1) 
We know :
TF = \(\begin{array}{l}\left( \frac{ 9 }{ 5 } \right ) T _{ c } \end{array} \) + 32 . . . . . . . . . . . . (2)
For neon
TK = 24.57 K
TF = \(\begin{array}{l}\left( \frac{ 9 }{ 5 } \right ) T _{ c } + 32\end{array} \)
= \(\begin{array}{l}\left( \frac{ 9 }{ 5 } \right ) \times \left ( -248.58 \right ) + 32\end{array} \)  = – 415.440F
For carbon dioxide 
TK = 216.55 K
TF = \(\begin{array}{l}\left( \frac{ 9 }{ 5 } \right ) T _{ c } + 32\end{array} \)
= \(\begin{array}{l}\left( \frac{ 9 }{ 5 } \right ) \times \left ( -56.60 \right ) + 32\end{array} \) = -69.880 F",,,,,,,,
"Q.2: Two absolute scales, A and B, have triple points of water defined to be 200 A and 350 B. What is the relation between TA and TB?","Given:
The triple point of water on absolute scale B, T2 = 400 B
The triple point of water on absolute scale A, T1 = 200 A
The triple point of water on the Kelvin scale, TK = 273.15 K
273.15 K on the Kelvin scale is equivalent to 200 A on the absolute scale A.
200 A = 273.15 K
Thus, A = \(\begin{array}{l}\frac{ 273.15 }{ 200 }\end{array} \)
273.15 K on the Kelvin scale is equivalent to 350 B on the absolute scale B.
350 B = 273.15 KThus, B = \(\begin{array}{l}\frac{ 273.15 }{ 350 }\end{array} \)
Let TA and TB be the triple point of water on scales A and B, respectively.
Thus, we have
\(\begin{array}{l}273.15 \times \frac{ T_{ A } }{ 200 } = 273.15 \times \frac{ T_{ B } }{ 200 }\end{array} \)
Therefore, TA : TB = 4 : 7",,,,,,,,
"Q.3: The electrical resistance in ohms of a certain thermometer varies with temperature according to the approximate law- R = Ro[1 + α (T – To )]. The resistance is 101.6 Ω at the triple-point of water 273.16 K, and 165.5 Ω at the normal melting point of lead (600.5 K). What is the temperature when the resistance is 123.4 Ω?","Triple point temperature, T0 =273.16 K
Resistance at the triple point, R0=101.6 Ω
The normal melting point of lead, T1= 600.5 K
Resistance at the normal melting point, R1 =165.5 Ω
According to approximate law,
R1=R0[1+α(T1−T0)]

165.5=101.6[1+α(600.5 – 273.16)]

165.5=101.6[1+α(327.34)]

165.5=101.6+α(101.6)(327.34)
165.5=101.6+α(101.6 x 327.34)
α = (165.5 – 101.6) /(101.6 x 327.34)
α = 63.9/(101.6 x 327.34)​
Now, when resistance is 123.4Ω, then temperature T2 is
R2=R0[1+α(T2−T0)]
123.4=101.6[1+α(T2 – 273.16)]

123.4= 101.6[1 +(63.9/(101.6 x 327.34)) (T2 – 273.16)]

123.4 = 101.6 + (63.9/327.34)(T2 – 273.16)
123.4  =101.6 +  (0.195)(T2) – (0.195) (273.16)
123.4  =101.6 +  (0.195)(T2) – 53.32
T2 = (123.4 – 101.6 + 53.32) /0.195 = 75.12/0.195  = 385.23",,,,,,,,
"Q.4: Answer the following.
(a) The triple-point of water is a standard fixed point in a modern thermometer. Why? What is wrong with taking the melting point of ice and the boiling point of water as standard fixed points (as was originally done in the Celsius scale)?
(b) There were two fixed points in the original Celsius scale, as mentioned above, which were assigned the numbers 0 °C and 100 °C, respectively. On the absolute scale, one of the fixed points is the triple-point of water, which on the Kelvin absolute scale is assigned the number 273.16 K. What is the other fixed point on this (Kelvin) scale?
(c) The absolute temperature (Kelvin scale) T is related to the temperature tc on the Celsius scale by tc = T – 273.15. Why do we have 273.15 in this relation and not 273.16?
(d) What is the temperature of the triple-point of water on an absolute scale whose unit interval size is equal to that of the Fahrenheit scale?","(i) Melting and boiling points of water aren’t considered the standard fixed points because they vary with change in pressure, the temperature of the triple point of water is unique, and it does not vary with pressure.(ii) On Kelvin’s scale, there is only a lower fixed point which is 273.16 K, the upper fixed point is not there.(iii) The relation is such because 273.15 K on Kelvin’s scale corresponds to the melting point of ice while 273.16 K is the triple point of water.(iv) We know,
Relation between the Fahrenheit scale and the Absolute scale,
i.e.  \(\begin{array}{l}\\\frac{T_{F}-32}{180}\end{array} \) = \(\begin{array}{l}\frac{T_{K}-273}{100}\end{array} \) . . . . . . . . . . . . . . . . . . . ( 1 )  For another set of T’F and  T’K\(\begin{array}{l}\\\frac{T’_{F}-32}{180} = \frac{T’_{K}-273}{100}\end{array} \) . . . . . . . . . . . . . . . . . . . ( 2 )  Subtracting Equations (1) and (2),
\(\begin{array}{l}\\\frac{T’_{F}-T_{F}}{180} = \frac{T’_{K}- T_{K}}{100}\end{array} \)
Therefore ,T’F – TF = 1.8(T’K – TK)
For, T’K – TK = 1KT’F – TF = 1.8
\(\begin{array}{l}\Rightarrow\end{array} \) For the triple point temperature = 273.16 K , the temperature on the new scale = 1.8 x 273.16 = 491.688 Units",,,,,,,,
Q.6. A steel tape 1m long is correctly calibrated for a temperature of 27.0 C. The length of a steel rod measured by this tape is found to be 63.0 cm on a hot day when the temperature is 45.0 C. What is the actual length of the steel rod on that day? What is the length of the same steel rod on a day when the temperature is 27.0 C? Coefficient of linear expansion of steel = 1.20 × 10^(–5) K^(–1),"T = 27 C
At the temperature of 27 C, the length of the tape is 1m = 100 cm
T1 = 45 C
At the temperature of 45 °C, the length of the tape is 63 cm.
The coefficient of linear expansion of steel = 1.20 × 10^(–5) K^–1
Let L be the actual length of the steel rod, and L’ is the length at 45 C
L’ = L [1 + ∝(T1 – T)]
= 100 [1+ 1.20 × 10^(–5) (45- 27)]
= 100[1+ 21.6 × 10^(–5)]
= 100 + 2160 x 10^(–5)
= 100 + 0.02160 = 100.02160
The actual length of the rod at 450 C is
L2 = (100.02160 /100) x 63 = 63. 013608 cm
The length of the rod at 270 C is 63.0 cm.",,,,,,,,
"Q.7. A large steel wheel is to be fitted on to a shaft of the same material. At 27 C, the outer diameter of the shaft is 8.70 cm, and the diameter of the central hole in the wheel is 8.69 cm. The shaft is cooled using ‘dry ice’. At what temperature of the shaft does the wheel slip on the shaft? Assume the coefficient of linear expansion of the steel to be constant over the required temperature range: αsteel = 1.20 × 10^(–5) K^–1.","Temperature, T= 27 C
The outer diameter of the shaft at 27 C is d1 = 8.70 cm
The diameter of the central hole in the wheel at 27 C is d2 = 8.69 cm
The oefficient of linear expansion of steel, αsteel​=1.2×10^(–5) K^−1
The temperature at which the wheel will slip on the shaft = T1​
Change due to cooling
d2= d1(1+αΔT)
d2 = d1[1+α(T1 – T)]
d2 – d1 = d1 α(T1 – T)
8.69 – 8.70 = 8.70 x 1.2×10^(–5) x (T1 – 27)
-0.01 = 10.44 ×10^(–5) x (T1 – 27)
-0.01/ (10.44 ×10^(–5) ) = T1 – 27
T1 = 27 – [0.01/ (10.44 ×10^(–5) )]
T1 = 27 – 95.7 = -68.7
Therefore, the wheel will slip on the shaft when the temperature of the shaft is -68.7 C.",,,,,,,,
"Q.8. A hole is drilled in a copper sheet. The diameter of the hole is 4.24 cm at 27.0 C. What is the change in the diameter of the hole when the sheet is heated to 227 C? Coefficient of linear expansion of copper = 1.70 × 10^(–5) K^(–1).
","The diameter of hole ( D1) = 4.24 cm
The initial temperature, T1 = 27.0 C = 27+ 273 = 300 K
The final temperature, T2 =227 C = 227+ 273 = 500K
Let the diameter of the hole at the final temperature be D2
The coefficient of linear expansion of copper, α= 1.70 × 10^(–5) K^(–1)
the initial area of hole (Ao)= πr^2 =π ( 4.24/2)^2

Coefficient of superficial expansion (β) = 2× Coefficient of linear expansion of copper (α)= 2 × 1.7 × 10^(-5) = 3.4 × 10^(-5) 

Using the formula,
A = Ao( 1 + β∆T)
A = π ( 4.24/2)^2 x [1 + 3.4 × 10^(-5) × (500-300)] = π ( 4.24/2)^2 x [ 1 + 3.4 × 10^(-5) × 200] = π ( 4.24/2)^2 x [ 1 + 6.8 × 10^(-3) ] = π ( 4.24/2)^2 x [ 1 + 0.0068] =  π ( 4.24/2)^2 x (1.0068)
π(D2)^2/4 = π ( 4.24/2)^2 ( 1.0068 )
(D2)^2= 17.97 (1.0068)

(D2)^2=  18.092
= 4.253
D2 = 4.253 cm
Change in diameter (∆D) = D2 – D1
= 4.253 – 4.24
= 0.013 cm",,,,,,,,
"Q.9. A brass wire 1.8 m long at 27 C is held taut with little tension between two rigid supports. If the wire is cooled to a temperature of –39 C, what is the tension developed in the wire, if its diameter is 2.0 mm? Co-efficient of linear expansion of brass = 2.0 × 10^(–5) K^(–1); Young’s modulus of brass = 0.91 × 10^11 Pa.","The initial temperature, T1=27C
The length of the brass wire at 27C, l =1.8m
The final temperature, T2=- 390C
The diameter of the wire, d=2.0mm=2×10^(−3)m
The coefficient of linear expansion of brass,α =2.0×10^(−5) K^(−1)
Young’s modulus of brass, Y=0.91×10^11 Pa
Young’s modulus is given by the relation.
Y= Stress / Strain
Y=(F/A)/ (ΔL/L)
Y = (F x L) /(A x ΔL)
ΔL=F×L/(A×Y) ……(1)
Where,
F= Tension developed in the wire
Cross-sectional area of the wire, A = (πd^2)/4 = (π (2×10^−3)^2) / 4
The change in the length (ΔL) is given by the relation:
ΔL= αL(T2 -T1) …..(2)
Equating equations (1) and (2), we get
αL(T2−T1)=(F×L)/(A×Y)
F = [αL(T2−T1) x A x Y]/L
F= α(T2−T1)Yπ(d/2)2
= 2×10^(−5) × (−39−27) x 0.91×10^11 ×3.14 x ((2×10^(−3)) / 2)^2
= 2×10^(−5) × (- 66) x 0.91×10^11 ×3.14 ×1 x10^−6
= – 377.18
= – 3.77 x 10^2 N

The negative sign indicates that the tension is directed inward.
Hence, the tension developed in the wire is 3.77×10^2 N.",,,,,,,,
"Q. 10. A brass rod of length 50 cm and diameter 3.0 mm is joined to a steel rod of the same length and diameter. What is the change in length of the combined rod at 250 C, if the original lengths are at 40.0 C? Is there a ‘thermal stress’ developed at the junction? The ends of the rod are free to expand (Co-efficient of linear expansion of brass = 2.0 × 10^(–5) K^(–1), steel = 1.2 × 10^(–5) K^(–1) ).","Length of the brass rod = Length of the steel rod = L0 = 50 cm
Diameter of the brass rod = Diameter of the steel rod = 3 mm
The initial temperature ( T1) = 40C
The final temperature ( T2) = 250C
Therefore, the increase in temperature (∆T) = 250 – 40 =210C
The coefficient of linear expansion of brass, ∝ = 2 × 10^(-5) K^(-1)
The coefficient of linear expansion of steel, β = 1.2 × 10^(-5) K^(-1)
The final length of brass, L1
L1 = Lo(1 + ∝∆T)
= 50( 1 + (2 × 10^(-5) × 210))
=50( 1 + 420 × 10^(-5))
= 50× 1.00420
= 50.21 cm
Increase in length of brass ( ∆L) = L2 – L1
= 50.21 – 50
= 0.21 cm
Final length of steel, L2= Lo(1 + β∆T)
= 50( 1 + (1.2 × 10^(-5) × 210))
= 50 × 1.00252
= 50.126 cm
Increase in length ( ∆L’) = 50.126 cm – 50 cm = 0.126 cm
The total increase in the length = ∆L + ∆L’
= 0.21 + 0.126
= 0.336 cm",,,,,,,,
Q.11: The coefficient of volume expansion of glycerine is 49 × 10^(–5) K^(–1). What is the fractional change in its density for a 30 C rise in temperature?,"Given:
Coefficient of volume expansion of glycerine, αV = 49 × 10^(-5) K^(-1)
Rise in temperature, ΔT = 30C
Fractional change in volume = \(\begin{array}{l}\frac{ \Delta V }{ V }\end{array} \)
We know:αV ΔT = \(\begin{array}{l}\frac{ \Delta V }{ V }\end{array} \)
Or, \(\begin{array}{l}V_{T_{2}} -V_{T_{1}} = V_{T_{1}}\alpha _{v}\Delta T\\\end{array} \)
Or,\(\begin{array}{l}\\\frac{m}{\rho _{T_{2}}} -\frac{m}{\rho _{T_{1}}} = \frac{m}{\rho _{T_{1}}}\alpha _{v}\Delta T\end{array} \)
Where m = mass of glycerine
\(\begin{array}{l}\rho _{T_{2}}\end{array} \) = Final density at T2\(\begin{array}{l}\\\rho _{T_{1}}\end{array} \)  = Initial density at T1
\(\begin{array}{l}\\\Rightarrow\end{array} \)  \(\begin{array}{l}\frac{\rho _{T_{1}} -\rho _{T_{2}}}{\rho _{T_{2}}}\end{array} \) = Fractional change in densityTherefore, Fractional change in density = 1.47 × 10^-2",,,,,,,,
"Q.12: A 10 kW drilling machine is used to drill a bore in a small aluminium block of mass 8.0 kg. How much is the rise in temperature of the block in 2.5 minutes, assuming 50% of power is used up in heating the machine itself or lost to the surroundings? Specific heat of aluminium = 0.91 J g^(–1) K^–1.","Power = 10 kW
Mass of the small aluminium block, m = 8 kg = 8 x 10^3 g
Time = 2.5×60=150 s
Specific heat of aluminium, c= 0.91 J g^–1 K^–1
Total energy =P×t=10^4 ×150=15×10^5 J
As 50% of the energy is used in the heating or lost to the surrounding,
Therefore, thermal energy available, ΔQ= (1/2) x 15×10^5
= 7.5 x 10^5
As ΔQ=mcΔT
ΔT= ΔQ/mc
=  7.5 x 10^5/ (8 x 10^3 ×0.91)
= 7.5 x 10^5/ 7.28 x 10^3
= 1.03 x 10^2 
Rise in the temperature of the block, ΔT = 103 C",,,,,,,,
Q.13. A copper block of mass 2.5 kg is heated in a furnace to a temperature of 500 C and then placed on a large ice block. What is the maximum amount of ice that can melt? (Specific heat of copper = 0.39 J g^–1 K^–1; the heat of fusion of water = 335 J g^–1 ),"The mass of the copper block, m = 2.5 kg
The temperature of the block, ΔT= 5000 C
The pecific heat of copper, c= 0.39 J g^–1 K^–1
The latent heat of fusion of water, L = 335 J g^–1
Let m’ be the mass of the ice melted.
Therefore, Heat gained by ice = Heat lost by copper
m’L = mcΔT
m’ = mc ΔT/L
= (2500 x 0.39 x 500)/335 = 1500 g = 1.5 kg",,,,,,,,
"Q.14. In an experiment on the specific heat of a metal, a 0.20 kg block of the metal at 150 C is dropped in a copper calorimeter (of water equivalent 0.025 kg) containing 150 cm^3 of water at 27 C. The final temperature is 40 C. Compute the specific heat of the metal. If heat losses to the surroundings are not negligible, is your answer greater or smaller than the actual value for the specific heat of the metal?
","The mass of the metal block, m = 0.20 kg = 200 g
The initial temperature of the metal block, T1​ = 1500C
The final temperature of the metal block, T2​ = 400C
The copper calorimeter has water equivalent of mass, m1= 0.025 kg = 25 g
The volume of water, V = 150 cm^3
The mass (M) of water at temperature T = 270C is 150×1=150g
Specific heat of water, Cw=4.186 J/gK
Specific heat of the metal = H
Decrease in the temperature of the metal block
ΔT1=T1​–T2​ =150−40=110C
Increase in the temperature of the water and calorimeter system, ΔT2=40−27=130C
Heat lost by the metal = Heat gained by the water + Heat gained by the  calorimeter
mHΔT1 = (M+m1)CwΔT2
H = [(M+m1)CwΔT2]/mΔT1
= [(150 +25) x 4.186 x 13]/(200 x 100)
=(175 x 4.186 x 13)/(200 x 100)
= 9523.15/22000
= 0.43 Jg^−1k^−1
If some heat is lost to the surroundings, the specific heat of metal will be lesser than the actual value.",,,,,,,,
